pos,player,AB,R,H,RBI,BB,SO,LOB,opponent
3b,Ana Gold,3,1,1,1,1,0,0,GEORGIA TECH
2b,Aminah Vega,4,0,2,1,0,0,4,GEORGIA TECH
c,Kelly Torres,3,1,1,1,0,0,1,GEORGIA TECH
lf,Claire Davidson,3,2,2,1,0,0,0,GEORGIA TECH
ss,Jada Baker,3,2,2,0,0,0,0,GEORGIA TECH
rf,Francesca Frelick,2,2,0,0,1,2,0,GEORGIA TECH
p,Cassidy Curd,0,0,0,0,0,0,0,GEORGIA TECH
cf,D'Auna Jennings,4,0,1,1,0,1,0,GEORGIA TECH
dp,Deja Davis,3,0,1,0,0,0,0,GEORGIA TECH
1b,Gisele Tapia,3,1,1,1,0,0,0,GEORGIA TECH
3b,Ana Gold,2,0,0,0,1,0,0,GEORGIA TECH
2b,Aminah Vega,3,0,0,0,0,0,2,GEORGIA TECH
rf,Claire Davidson,1,0,0,0,0,0,0,GEORGIA TECH
rf,Kelsey Zampa,2,0,0,0,0,0,0,GEORGIA TECH
c,Kelly Torres,3,1,2,1,0,0,0,GEORGIA TECH
pr,Sarah Goddard,0,1,0,0,0,0,0,GEORGIA TECH
ss,Jada Baker,1,1,0,0,1,0,0,GEORGIA TECH
ph,Kairi Rodriguez,0,0,0,0,1,0,0,GEORGIA TECH
lf,Kamryn Jackson,3,0,1,1,0,0,1,GEORGIA TECH
p,Jala Wright,0,0,0,0,0,0,0,GEORGIA TECH
cf,D'Auna Jennings,4,1,1,0,0,1,1,GEORGIA TECH
dh/1b,Deja Davis,4,1,1,0,0,1,0,GEORGIA TECH
1b,Kristiana Watson,0,0,0,0,0,0,0,GEORGIA TECH
1b/3b,Gisele Tapia,1,1,0,0,2,0,0,GEORGIA TECH
3b/ss,Ana Gold,2,2,1,3,0,0,0,GEORGIA TECH
2b,Aminah Vega,3,1,2,3,0,0,0,GEORGIA TECH
rf,Claire Davidson,3,0,1,0,0,0,2,GEORGIA TECH
c,Kelly Torres,1,0,0,0,1,0,0,GEORGIA TECH
ph/2b,Julia Boyet,1,0,0,0,0,0,0,GEORGIA TECH
ss,Jada Baker,0,0,0,0,0,0,0,GEORGIA TECH
ph/dh,Kairi Rodriguez,3,0,0,0,0,0,2,GEORGIA TECH
lf,Kamryn Jackson,2,0,0,0,0,0,0,GEORGIA TECH
lf,Kelsey Zampa,0,0,0,0,0,0,0,GEORGIA TECH
p,Jala Wright,0,0,0,0,0,0,0,GEORGIA TECH
p,Sophie Garner-MacKinnon,0,0,0,0,0,0,0,GEORGIA TECH
cf,D'Auna Jennings,5,1,3,0,0,0,2,LONGWOOD
1b,Deja Davis,4,0,0,0,0,0,3,LONGWOOD
3b,Gisele Tapia,4,0,1,1,0,0,0,LONGWOOD
pr,Kamryn Jackson,0,1,0,0,0,0,0,LONGWOOD
ss,Ana Gold,2,0,0,0,2,1,1,LONGWOOD
2b,Aminah Vega,4,1,3,1,0,0,1,LONGWOOD
rf/pr,Claire Davidson,1,0,1,0,2,0,0,LONGWOOD
ph,Julia Boyet,1,0,0,1,0,0,0,LONGWOOD
c/dp,Kelly Torres,3,0,1,0,0,1,3,LONGWOOD
dp/c,Kairi Rodriguez,2,0,0,0,1,2,0,LONGWOOD
dp,Francesca Frelick,1,0,0,0,0,0,0,LONGWOOD
lf,Kelsey Zampa,2,0,0,0,1,1,3,LONGWOOD
ph/lf,Sarah Goddard,0,0,0,0,0,0,0,LONGWOOD
p,Jala Wright,0,0,0,0,0,0,0,LONGWOOD
p,Cassidy Curd,0,0,0,0,0,0,0,LONGWOOD
cf,D'Auna Jennings,3,0,1,2,0,1,3,PITT
ph,Kairi Rodriguez,1,0,0,0,0,0,2,PITT
1b,Deja Davis,3,2,2,1,0,0,0,PITT
3b,Gisele Tapia,3,0,0,0,0,0,1,PITT
ss,Ana Gold,4,0,2,1,0,0,1,PITT
2b,Aminah Vega,4,0,1,0,0,0,0,PITT
lf,Claire Davidson,3,0,1,0,0,1,1,PITT
c,Kelly Torres,2,1,1,0,2,0,0,PITT
pr,Kelsey Zampa,0,0,0,0,0,0,0,PITT
rf,Francesca Frelick,4,1,2,0,0,0,2,PITT
dh,Kamryn Jackson,1,0,0,0,1,1,0,PITT
ph,Kristiana Watson,1,0,0,0,0,0,0,PITT
p,Cassidy Curd,0,0,0,0,0,0,0,PITT
p,Jala Wright,0,0,0,0,0,0,0,PITT
cf,D'Auna Jennings,4,3,2,0,1,0,0,PITT
1b,Deja Davis,4,3,4,5,1,0,0,PITT
3b,Gisele Tapia,5,0,1,3,0,0,0,PITT
ss,Ana Gold,2,0,0,0,0,1,0,PITT
2b,Julia Boyet,3,0,0,0,0,1,3,PITT
2b/ss,Aminah Vega,4,2,3,1,0,0,0,PITT
lf,Claire Davidson,4,1,1,1,0,0,0,PITT
dh/c,Kelly Torres,3,1,1,0,0,0,0,PITT
c,Kairi Rodriguez,3,1,2,1,1,1,2,PITT
pr,Kamryn Jackson,0,1,0,0,0,0,0,PITT
rf,Francesca Frelick,4,0,1,0,0,0,2,PITT
pr,Kelsey Zampa,0,0,0,0,0,0,0,PITT
p,Sophie Garner-MacKinnon,0,0,0,0,0,0,0,PITT
p,Lillie Walker,0,0,0,0,0,0,0,PITT
cf,D'Auna Jennings,5,2,2,1,0,2,0,PITT
1b,Deja Davis,5,1,1,1,0,2,2,PITT
3b,Gisele Tapia,5,2,4,4,0,0,0,PITT
ss,Aminah Vega,4,1,2,2,1,1,1,PITT
c,Kelly Torres,4,1,0,0,1,0,3,PITT
lf,Claire Davidson,4,1,4,2,0,0,0,PITT
pr,Kelsey Zampa,0,1,0,0,0,0,0,PITT
rf,Francesca Frelick,4,1,0,0,0,0,0,PITT
2b/pr,Julia Boyet,3,1,2,1,0,1,0,PITT
ph,Kristiana Watson,1,0,0,0,0,0,0,PITT
dh,Sarah Goddard,2,1,0,0,2,0,2,PITT
p,Cassidy Curd,0,0,0,0,0,0,0,PITT
p,Lillie Walker,0,0,0,0,0,0,0,PITT
cf,D'Auna Jennings,4,0,1,0,0,1,1,GEORGIA TECH
dp,Deja Davis,4,2,3,0,0,0,1,GEORGIA TECH
1b,Gisele Tapia,3,0,0,0,0,1,0,GEORGIA TECH
3b,Ana Gold,3,1,0,0,1,1,3,GEORGIA TECH
2b,Aminah Vega,4,2,3,4,0,0,0,GEORGIA TECH
lf,Claire Davidson,1,0,0,0,0,0,0,GEORGIA TECH
ph/lf,Kamryn Jackson,1,0,0,0,0,0,0,GEORGIA TECH
c,Kelly Torres,2,1,1,1,1,1,2,GEORGIA TECH
ss,Jada Baker,1,0,0,0,0,0,0,GEORGIA TECH
ph,Kristiana Watson,1,1,1,2,0,0,0,GEORGIA TECH
rf,Francesca Frelick,1,0,0,0,2,0,0,GEORGIA TECH
pr,Kelsey Zampa,0,0,0,0,0,0,0,GEORGIA TECH
p,Jala Wright,0,0,0,0,0,0,0,GEORGIA TECH
p,Sophie Garner-MacKinnon,0,0,0,0,0,0,0,GEORGIA TECH
p,Cassidy Curd,0,0,0,0,0,0,0,GEORGIA TECH
p,Lillie Walker,0,0,0,0,0,0,0,GEORGIA TECH
cf,D'Auna Jennings,3,0,1,0,0,0,0,CLEMSON
dp,Deja Davis,3,0,1,0,0,1,0,CLEMSON
1b,Gisele Tapia,3,0,1,0,0,0,0,CLEMSON
3b,Ana Gold,2,0,0,1,0,2,1,CLEMSON
2b,Aminah Vega,3,1,0,0,0,0,2,CLEMSON
c,Kelly Torres,1,0,0,0,0,0,0,CLEMSON
pr,Sarah Goddard,0,0,0,0,0,0,0,CLEMSON
lf,Claire Davidson,2,0,1,1,0,0,0,CLEMSON
ss,Jada Baker,1,0,0,0,0,0,0,CLEMSON
ph,Kristiana Watson,1,0,0,0,0,1,0,CLEMSON
rf,Francesca Frelick,2,0,1,0,0,0,1,CLEMSON
pr,Kelsey Zampa,0,1,0,0,0,0,0,CLEMSON
p,Cassidy Curd,0,0,0,0,0,0,0,CLEMSON
cf,D'Auna Jennings,3,0,1,0,0,0,0,FLORIDA STATE
dp/1b,Deja Davis,3,0,1,0,0,1,0,FLORIDA STATE
2b,Aminah Vega,2,0,0,0,1,1,0,FLORIDA STATE
3b,Ana Gold,2,0,1,0,0,0,1,FLORIDA STATE
1b,Gisele Tapia,3,0,0,0,0,1,5,FLORIDA STATE
rf,Claire Davidson,3,0,1,0,0,1,0,FLORIDA STATE
c,Kelly Torres,3,0,0,0,0,1,0,FLORIDA STATE
ss,Jada Baker,2,0,0,0,0,1,1,FLORIDA STATE
ph,Francesca Frelick,1,0,0,0,0,0,0,FLORIDA STATE
lf,Kamryn Jackson,2,1,0,0,0,0,0,FLORIDA STATE
p,Cassidy Curd,0,0,0,0,0,0,0,FLORIDA STATE
p,Lillie Walker,0,0,0,0,0,0,0,FLORIDA STATE
cf,D'Auna Jennings,2,0,0,0,0,1,0,GEORGE MASON
ph,Kristiana Watson,1,0,0,0,0,1,3,GEORGE MASON
dh,Deja Davis,3,0,0,0,0,0,0,GEORGE MASON
1b,Gisele Tapia,3,0,0,0,0,0,0,GEORGE MASON
3b,Ana Gold,2,2,2,1,1,0,0,GEORGE MASON
2b,Aminah Vega,3,0,1,0,0,0,0,GEORGE MASON
rf,Claire Davidson,2,0,1,1,0,0,2,GEORGE MASON
c,Kelly Torres,1,0,0,0,1,0,0,GEORGE MASON
ph/c,Francesca Frelick,1,0,0,0,0,0,0,GEORGE MASON
ss,Jada Baker,2,0,1,0,0,0,0,GEORGE MASON
ph,Sarah Goddard,1,0,0,0,0,1,1,GEORGE MASON
lf,Kamryn Jackson,1,0,0,0,0,1,0,GEORGE MASON
p,Jala Wright,0,0,0,0,0,0,0,GEORGE MASON
p,Lillie Walker,0,0,0,0,0,0,0,GEORGE MASON
p,Cassidy Curd,0,0,0,0,0,0,0,GEORGE MASON
cf,D'Auna Jennings,3,1,3,0,0,0,0,CHARLOTTE
dp/1b,Deja Davis,3,0,2,1,0,0,0,CHARLOTTE
1b/2b,Gisele Tapia,3,0,0,0,0,0,1,CHARLOTTE
3b,Ana Gold,3,1,2,0,0,0,0,CHARLOTTE
2b/ss,Aminah Vega,3,1,2,1,0,0,0,CHARLOTTE
rf,Claire Davidson,3,0,0,0,0,0,0,CHARLOTTE
c,Kelly Torres,3,1,2,2,0,0,0,CHARLOTTE
pr,Sarah Goddard,0,1,0,0,0,0,0,CHARLOTTE
ss,Jada Baker,1,0,0,0,0,0,0,CHARLOTTE
ph/dp,Kelsey Zampa,2,0,1,1,0,0,1,CHARLOTTE
lf,Kamryn Jackson,2,0,0,0,0,0,0,CHARLOTTE
p,Cassidy Curd,0,0,0,0,0,0,0,CHARLOTTE
p,Lillie Walker,0,0,0,0,0,0,0,CHARLOTTE
cf,D'Auna Jennings,4,2,4,0,0,0,0,CHARLOTTE
1b,Deja Davis,4,0,1,1,0,1,1,CHARLOTTE
3b,Ana Gold,3,0,0,0,1,1,0,CHARLOTTE
ph,Julia Boyet,0,0,0,0,0,0,0,CHARLOTTE
2b/ss,Aminah Vega,3,0,1,1,1,0,1,CHARLOTTE
rf/lf,Claire Davidson,4,0,0,0,0,1,1,CHARLOTTE
c,Kelly Torres,2,0,0,0,1,0,1,CHARLOTTE
lf,Kamryn Jackson,1,0,0,0,1,0,0,CHARLOTTE
ph/rf,Francesca Frelick,1,0,0,0,0,0,3,CHARLOTTE
ss/pr,Jada Baker,1,1,0,0,0,0,0,CHARLOTTE
ph/2b,Gisele Tapia,2,0,1,0,0,0,0,CHARLOTTE
dp,Kelsey Zampa,3,1,1,1,0,0,0,CHARLOTTE
p,Jala Wright,0,0,0,0,0,0,0,CHARLOTTE
p,Cassidy Curd,0,0,0,0,0,0,0,CHARLOTTE
p,Lillie Walker,0,0,0,0,0,0,0,CHARLOTTE
cf,D'Auna Jennings,3,0,0,0,0,2,0,STANFORD
1b,Deja Davis,3,1,1,0,0,0,0,STANFORD
dp,Gisele Tapia,3,0,1,0,0,0,0,STANFORD
3b,Ana Gold,2,0,0,0,1,0,0,STANFORD
2b,Aminah Vega,3,0,1,1,0,0,0,STANFORD
rf,Claire Davidson,2,0,1,0,0,1,2,STANFORD
ph,Julia Boyet,1,0,0,0,0,0,0,STANFORD
c,Kelly Torres,2,0,0,0,0,2,0,STANFORD
ph,Kamryn Jackson,1,0,0,0,0,1,0,STANFORD
ss,Jada Baker,1,0,0,0,0,1,0,STANFORD
ph,Francesca Frelick,1,0,0,0,0,1,2,STANFORD
ph,Kristiana Watson,1,0,0,0,0,1,0,STANFORD
lf,Kelsey Zampa,3,0,0,0,0,0,1,STANFORD
p,Cassidy Curd,0,0,0,0,0,0,0,STANFORD
p,Lillie Walker,0,0,0,0,0,0,0,STANFORD
cf,D'Auna Jennings,0,1,0,0,0,0,0,STANFORD
rf,Francesca Frelick,2,1,1,1,0,0,0,STANFORD
1b,Deja Davis,3,0,0,0,0,1,0,STANFORD
dh,Gisele Tapia,3,0,1,0,0,0,0,STANFORD
3b,Ana Gold,3,0,2,1,0,0,0,STANFORD
2b,Aminah Vega,3,0,0,0,0,2,1,STANFORD
rf/lf,Claire Davidson,3,0,1,0,0,1,0,STANFORD
c,Kelly Torres,3,0,0,0,0,0,0,STANFORD
cf,Kamryn Jackson,3,0,1,0,0,1,0,STANFORD
ss,Jada Baker,2,0,0,0,0,1,1,STANFORD
ph,Sarah Goddard,1,0,0,0,0,1,0,STANFORD
p,Cassidy Curd,0,0,0,0,0,0,0,STANFORD
p,Lillie Walker,0,0,0,0,0,0,0,STANFORD
p,Jala Wright,0,0,0,0,0,0,0,STANFORD
